Generation type,Fuel,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Other generators,Onshore wind,0.0%,0.0%,0.0%,2.7%,2.7%,3.0%,3.8%,3.6%,4.9%,6.9%,9.9%,4.6%,4.4%,7.0%,6.7%,8.6%,7.6%,13.2%,13.9%,16.3%,13.9%,17.1%,17.0%,14.9%,17.0%,14.2%,15.5%,14.1%,13.2%,,,,,
Other generators,Offshore wind,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.6%,1.1%,1.8%,0.2%,0.8%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.3%,0.0%,0.1%,0.3%,0.3%,0.3%,,,,,
Other generators,Solar,2.0%,2.5%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,0.1%,0.7%,3.8%,6.0%,10.9%,14.3%,18.1%,16.8%,17.3%,14.8%,15.0%,15.1%,16.9%,17.8%,17.2%,,,,,
Other generators,Thermal renewables [note 9],6.8%,7.5%,9.2%,10.2%,10.3%,13.6%,14.3%,15.6%,18.2%,19.2%,19.4%,19.7%,20.6%,23.1%,24.6%,24.5%,24.2%,26.4%,26.6%,27.0%,27.4%,28.0%,28.7%,28.8%,32.1%,34.2%,32.8%,32.3%,34.3%,,,,,
Other generators,Other fuels [note 10],17.4%,16.0%,14.6%,13.7%,12.5%,11.3%,11.2%,10.7%,8.6%,10.2%,9.4%,9.8%,9.5%,9.2%,7.4%,8.0%,9.6%,8.5%,9.0%,9.2%,10.0%,7.8%,9.5%,10.8%,7.8%,7.9%,8.3%,8.5%,8.3%,,,,,
Other generators,Total other generators,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,,,,,
All generating companies,Coal,41.4%,34.1%,33.9%,28.8%,31.8%,34.2%,32.1%,34.7%,33.5%,33.8%,37.5%,34.3%,32.0%,27.4%,28.2%,29.5%,39.2%,36.4%,29.7%,22.4%,9.0%,6.7%,5.0%,2.1%,1.8%,2.2%,1.8%,1.3%,0.7%,,,,,
All generating companies,Oil,4.3%,2.5%,2.0%,1.8%,1.7%,1.4%,1.2%,1.2%,1.2%,1.3%,1.6%,1.3%,1.7%,1.6%,1.3%,0.9%,0.8%,0.6%,0.6%,0.6%,0.6%,0.5%,0.5%,0.6%,0.5%,0.6%,0.9%,0.7%,0.6%,,,,,
All generating companies,Gas,24.0%,31.6%,32.5%,38.8%,39.3%,36.9%,39.3%,37.4%,39.9%,38.3%,35.5%,41.8%,45.3%,44.2%,46.0%,39.8%,27.5%,26.8%,29.8%,29.5%,42.3%,40.4%,39.4%,40.7%,36.1%,39.9%,38.5%,34.6%,30.4%,,,,,
All generating companies,Nuclear,27.0%,28.0%,27.4%,25.8%,22.6%,23.4%,22.7%,22.3%,20.3%,20.5%,19.0%,15.9%,13.5%,18.3%,16.3%,18.8%,19.4%,19.7%,18.9%,20.8%,21.2%,20.8%,19.5%,17.2%,16.2%,15.0%,14.6%,13.8%,14.2%,,,,,
All generating companies,Hydro (natural flow),1.0%,1.2%,1.4%,1.5%,1.4%,1.1%,1.2%,0.8%,1.2%,1.2%,1.2%,1.3%,1.3%,1.4%,0.9%,1.6%,1.5%,1.3%,1.7%,1.9%,1.6%,1.7%,1.6%,1.8%,2.2%,1.8%,1.6%,1.9%,2.0%,,,,,
All generating companies,Total wind [note 11],0.2%,0.2%,0.3%,0.3%,0.3%,0.3%,0.4%,0.4%,0.6%,0.9%,1.4%,1.7%,2.3%,3.0%,3.3%,5.1%,6.4%,9.1%,10.2%,12.9%,11.9%,14.7%,17.1%,19.5%,24.4%,21.1%,24.7%,27.9%,29.2%,,,,,
All generating companies,Onshore wind,0.1%,0.2%,0.2%,0.2%,0.3%,0.3%,0.3%,0.3%,0.4%,0.6%,0.9%,1.1%,1.5%,2.0%,1.9%,2.9%,3.4%,4.7%,5.5%,6.7%,6.1%,8.5%,9.1%,9.7%,11.2%,9.5%,10.8%,11.1%,12.2%,,,,,
All generating companies,Offshore wind,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,0.2%,0.2%,0.3%,0.5%,0.8%,1.4%,2.1%,3.2%,4.0%,5.1%,4.8%,6.2%,8.0%,9.8%,13.1%,11.6%,13.9%,16.9%,17.0%,,,,,
All generating companies,Solar,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.4%,0.6%,1.2%,2.2%,3.1%,3.4%,3.8%,3.8%,4.0%,3.9%,4.3%,5.0%,5.0%,,,,,
All generating companies,Thermal renewables [note 9],0.6%,0.7%,0.9%,1.1%,1.2%,1.3%,1.5%,1.7%,2.0%,2.4%,2.5%,2.4%,2.5%,2.8%,3.2%,3.6%,4.1%,5.1%,6.7%,8.6%,8.9%,9.4%,10.5%,11.5%,12.4%,13.0%,11.1%,11.7%,14.1%,,,,,
All generating companies,Other fuels [note 10],1.2%,1.2%,1.2%,1.2%,1.2%,0.9%,1.0%,1.0%,0.8%,0.9%,0.9%,0.9%,0.8%,0.9%,0.7%,0.8%,0.9%,1.0%,1.2%,1.4%,1.6%,1.5%,1.8%,2.3%,1.9%,1.9%,1.9%,2.2%,2.2%,,,,,
All generating companies,Energy storage,0.4%,0.4%,0.5%,0.8%,0.7%,0.6%,0.7%,0.7%,0.7%,0.7%,1.0%,1.0%,1.1%,1.0%,0.8%,0.8%,0.8%,0.8%,0.9%,0.8%,0.9%,0.9%,0.8%,0.6%,0.5%,0.7%,0.7%,1.0%,1.4%,,,,,
All generating companies,Total all generating companies,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,,,,,
All generating companies,Renewable generation share [note 13],1.7%,2.1%,2.6%,2.8%,2.8%,2.6%,3.0%,2.8%,3.7%,4.4%,4.7%,5.0%,5.6%,6.7%,6.9%,9.6%,11.3%,14.9%,19.1%,24.6%,24.5%,29.2%,33.0%,36.6%,43.1%,39.8%,41.6%,46.5%,50.4%,,,,,
All generating companies,Low carbon generation share [note 14],28.7%,30.1%,30.0%,28.6%,25.3%,26.0%,25.7%,25.1%,24.1%,24.9%,23.7%,20.8%,19.1%,25.0%,23.1%,28.3%,30.7%,34.6%,37.9%,45.4%,45.6%,50.0%,52.5%,53.8%,59.3%,54.8%,56.2%,60.3%,64.7%,,,,,
All generating companies,Fossil fuel generation share [note 15],69.6%,68.3%,68.4%,69.4%,72.8%,72.4%,72.7%,73.3%,74.5%,73.5%,74.5%,77.3%,79.0%,73.1%,75.4%,70.1%,67.6%,63.7%,60.1%,52.5%,51.9%,47.6%,44.9%,43.4%,38.4%,42.7%,41.2%,36.6%,31.8%,,,,,
