Year,Country,Exports,Imports,Net imports
2018,Ireland to Wales,,"1,277",504
2018,Netherlands,207,"6,392","6,185"
2018,Northern Ireland to Ireland,848,,
2018,Norway,,,
2018,Wales to Ireland,773,,
2018,to UK,,,"19,108"
2019,Belgium,118,"5,091","4,973"
2019,Denmark,,,
2019,France,729,"11,875","11,147"
2019,Ireland to Northern Ireland,,302,-825
2019,Ireland to Wales,,"1,238",180
2019,Netherlands,354,"6,049","5,695"
2019,Northern Ireland to Ireland,"1,127",,
2019,Norway,,,
2019,Wales to Ireland,"1,058",,
2019,to UK,,,"21,170"
2020,Belgium,491,"5,384","4,893"
2020,Denmark,,,
2020,France,"1,680","10,412","8,732"
2020,Ireland to Northern Ireland,,321,-753
2020,Ireland to Wales,,"1,600",911
2020,Netherlands,547,"4,674","4,127"
2020,Northern Ireland to Ireland,"1,074",,
2020,Norway,,,
2020,Wales to Ireland,689,,
2020,to UK,,,"17,910"
2021,Belgium,138,"6,995","6,857"
2021,Denmark,,,
2021,France,"1,483","15,164","13,681"
2021,Ireland to Northern Ireland,,325,"-1,092"
2021,Ireland to Wales,,538,-497
2021,Netherlands,77,"4,341","4,263"
2021,Northern Ireland to Ireland,"1,417",,
2021,Norway,44,"1,456","1,412"
2021,Wales to Ireland,"1,035",,
2021,to UK,,,"24,624"
2022,Belgium,"2,568","3,230",662
2022,Denmark,,,
2022,France,"12,776","2,792","-9,984"
2022,Ireland to Northern Ireland,,336,-833
2022,Ireland to Wales,,990,606
2022,Netherlands,"2,158","3,610","1,453"
2022,Northern Ireland to Ireland,"1,169",,
2022,Norway,"1,762","4,547","2,785"
2022,Wales to Ireland,384,,
2022,to UK,,,"-5,310"
2023,Belgium,"1,000","3,986","2,985"
2023,Denmark,14,64,50
2023,France,"2,749","15,617","12,868"
2023,Ireland to Northern Ireland,,203,"-1,604"
2023,Ireland to Wales,,239,"-1,676"
2023,Netherlands,"1,586","4,265","2,680"
2023,Northern Ireland to Ireland,"1,807",,
2023,Norway,414,"8,945","8,531"
2023,Wales to Ireland,"1,915",,
2023,to UK,,,"23,834"
2024,Belgium,906,"5,068","4,162"
2024,Denmark,"1,389","5,051","3,662"
2024,France,824,"20,274","19,450"
2024,Ireland to Northern Ireland,,71,"-2,390"
2024,Ireland to Wales,,137,"-2,682"
2024,Netherlands,"1,644","3,229","1,585"
2024,Northern Ireland to Ireland,"2,461",,
2024,Norway,282,"9,903","9,621"
2024,Wales to Ireland,"2,819",,
2024,to UK,,,"33,408"
