Generation type,Fuel,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
All generating companies,Coal,"145,216","119,718","122,971","106,180","119,950","131,461","124,279","138,305","131,788","134,637","148,850","135,944","124,381","103,038","107,594","108,442","142,792","130,258","100,239","75,878","30,669","22,530","16,831","6,917","5,700","6,785","5,943","3,775","2,040",,
All generating companies,Oil,"14,955","8,686","7,355","6,549","6,524","5,253","4,799","4,594","4,644","5,338","6,173","5,048","6,709","5,995","4,805","3,119","2,891","2,066","1,920","2,037","1,890","1,614","1,573","1,988","1,431","1,962","2,830","2,005","1,817",,
All generating companies,Gas,"84,086","110,963","117,798","142,902","148,077","141,905","152,277","148,881","157,064","152,642","140,828","165,793","176,219","166,499","175,653","146,499","100,170","95,843","100,892","99,875","143,356","136,746","131,490","133,089","111,894","122,836","125,118","101,791","86,674",,
All generating companies,Nuclear,"94,671","98,146","99,486","95,133","85,063","90,093","87,848","88,686","79,999","81,618","75,451","63,028","52,486","69,098","62,140","68,980","70,405","70,607","63,748","70,345","71,726","70,336","65,064","56,184","50,239","46,104","47,400","40,596","40,588",,
All generating companies,Hydro (natural flow),"3,393","4,169","5,118","5,336","5,086","4,055","4,787","3,228","4,844","4,922","4,593","5,077","5,145","5,231","3,591","5,692","5,310","4,701","5,888","6,297","5,370","5,882","5,443","5,933","6,878","5,418","5,068","5,464","5,796",,
All generating companies,Total wind,488,667,877,850,946,965,"1,256","1,285","1,935","2,904","4,225","5,274","7,123","9,283","10,286","15,963","19,847","28,397","31,959","40,275","37,159","49,641","56,908","63,835","75,623","64,924","80,214","82,146","83,283",,
All generating companies,Onshore wind,488,667,877,850,945,960,"1,251","1,276","1,736","2,501","3,574","4,491","5,788","7,529","7,226","10,814","12,244","16,925","18,555","22,852","20,754","28,725","30,382","31,860","34,873","29,327","35,102","32,496","34,744",,
All generating companies,Offshore wind,0,0,0,0,1,5,5,10,199,403,651,783,"1,335","1,754","3,060","5,149","7,603","11,472","13,405","17,423","16,406","20,916","26,525","31,975","40,750","35,597","45,113","49,650","48,539",,
All generating companies,Shoreline wave / tidal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,5,2,2,0,4,9,14,11,5,11,13,13,,
All generating companies,Solar,0,0,0,1,1,2,3,3,4,8,11,14,17,20,40,244,"1,354","2,010","4,054","7,533","10,395","11,457","12,668","12,418","12,547","12,128","13,983","14,639","14,364",,
All generating companies,Thermal renewables [note 9],"2,221","2,593","3,237","3,988","4,328","5,054","5,625","6,691","7,940","9,685","9,928","9,325","9,535","10,674","12,261","13,313","14,734","18,100","22,619","29,257","30,066","31,894","35,102","37,526","38,565","40,001","35,952","34,497","40,252",,
All generating companies,Other fuels [note 10],"4,283","4,239","4,236","4,312","4,401","3,577","3,719","3,800","3,062","3,676","3,371","3,467","3,188","3,196","2,545","2,823","3,401","3,392","3,891","4,636","5,573","5,219","6,129","7,433","5,727","5,729","6,116","6,310","6,259",,
All generating companies,Energy storage,"1,556","1,486","1,624","2,902","2,694","2,422","2,652","2,734","2,649","2,930","3,853","3,859","4,089","3,685","3,150","2,906","2,966","2,904","2,883","2,739","2,959","2,872","2,534","1,838","1,680","1,987","2,185","2,844","3,871",,
All generating companies,Total all generating companies,"350,867","350,667","362,702","368,153","377,070","384,787","387,245","398,207","393,929","398,360","397,282","396,830","388,892","376,718","382,068","367,982","363,874","358,283","338,096","338,875","339,164","338,198","333,752","327,175","310,296","307,881","324,821","294,079","284,956",,
All generating companies,Total renewable generation [note 13],"6,102","7,429","9,232","10,175","10,361","10,076","11,671","11,207","14,723","17,519","18,757","19,690","21,820","25,208","26,180","35,212","41,249","53,213","64,523","83,364","82,991","98,879","110,130","119,726","133,625","122,477","135,228","136,758","143,708",,
All generating companies,Total low carbon generation [note 14],"100,773","105,575","108,718","105,308","95,424","100,169","99,519","99,893","94,722","99,137","94,207","82,718","74,306","94,306","88,320","104,193","111,654","123,820","128,270","153,709","154,717","169,215","175,194","175,910","183,864","168,581","182,628","177,354","184,296",,
All generating companies,Total fossil fuel generation [note 15],"244,257","239,367","248,124","255,631","274,551","278,619","281,355","291,780","293,496","292,617","295,851","306,785","307,309","275,531","288,053","258,060","245,853","228,167","203,051","177,791","175,915","160,891","149,894","141,993","119,025","131,583","133,891","107,571","90,531",,
